Iteration,Discriminator Loss,Generator Loss
0,1.681816,0.663022
10,0.220988,1.798263
20,0.115833,0.846071
30,12.667921,0.036107
40,2.630940,0.000258
50,42.473763,0.000000
60,4.034261,10.280531
70,13.293407,0.000000
80,4.058613,5.647991
90,7.715836,4.280573
100,3.391556,0.000011
110,7.461748,0.000183
120,14.707123,0.000000
130,1.684467,0.041717
140,1.620764,0.040195
150,9.684116,0.000000
160,16.644854,0.034094
170,14.052184,0.000000
180,1.707171,0.398667
190,2.220370,1.310148
200,10.251812,0.000019
210,9.925301,0.001636
220,2.293366,0.000288
230,12.562407,4.462879
240,7.601507,0.000077
250,7.874413,0.000008
260,3.117748,0.000000
270,10.785920,0.000050
280,16.413189,0.082483
290,10.195164,0.675213
300,5.390271,0.000620
310,10.270675,0.018091
320,8.791193,0.014203
330,7.367837,1.602496
340,4.622771,0.220791
350,1.448434,0.014635
360,6.573850,1.867617
370,1.281141,0.022401
380,1.426400,0.058192
390,8.051270,0.076054
400,3.924371,4.035416
410,1.324484,0.073879
420,4.434566,0.036507
430,2.216948,6.820944
440,1.470711,0.005149
450,4.923201,0.019710
460,3.907075,0.106121
470,0.125800,3.873352
480,2.013875,0.364916
490,3.204565,0.023553
500,2.082672,0.124666
510,2.813892,0.411973
520,1.272691,1.144518
530,1.335808,0.512991
540,0.792521,0.126126
550,1.199112,0.626108
560,1.273973,0.299118
570,1.317687,0.770086
580,1.319617,0.649837
590,1.222330,0.308589
600,1.376092,0.578572
610,1.382216,0.594586
620,1.364267,0.741389
630,0.943456,0.204714
640,1.245063,0.248154
650,1.057935,0.254344
660,1.112481,0.298162
670,1.090799,0.395444
680,1.150194,0.289578
690,1.412915,0.595838
700,1.276309,0.694564
710,1.155786,0.253688
720,1.182891,0.305540
730,1.188210,0.374858
740,1.140295,0.299470
750,1.149046,0.302293
760,1.053601,0.277124
770,1.051714,0.325648
780,1.047306,0.251800
790,1.146817,0.265958
800,1.072134,0.205537
810,1.129441,0.266557
820,1.167231,0.270697
830,1.088513,0.229057
840,1.151528,0.253211
850,1.167785,0.258988
860,1.098788,0.306085
870,0.996987,0.223154
880,1.081387,0.218569
890,1.096353,0.240405
900,1.202997,0.222561
910,1.061314,0.201411
920,1.482494,0.582636
930,1.162753,0.393018
940,1.533739,0.317697
950,1.205197,0.270863
960,0.960205,0.198411
970,0.878155,0.154315
980,1.175213,0.285841
990,1.478297,0.432425
1000,1.107163,0.231969
1010,1.442706,0.436871
1020,0.692922,0.168459
1030,1.340541,0.349500
1040,0.750997,0.139444
1050,1.001471,0.157296
1060,0.983386,0.232589
1070,1.166979,0.416444
1080,0.510201,0.102224
1090,1.349296,0.457061
1100,1.207910,0.167202
1110,0.925739,0.147775
1120,1.066039,0.232096
1130,0.722677,0.107261
1140,0.344067,0.234413
1150,0.848351,0.120831
1160,0.907524,0.282236
1170,1.092668,0.050705
1180,0.755769,0.171944
1190,0.734047,0.154274
1200,0.889490,0.042124
1210,1.275332,0.264358
1220,1.190634,0.337133
1230,1.050243,0.159004
1240,1.029597,0.414001
1250,1.061704,0.302721
1260,1.001194,0.205914
1270,1.051093,0.117826
1280,1.046193,0.231520
1290,0.985168,0.152578
1300,0.939001,0.175316
1310,1.379739,0.108731
1320,0.883361,0.186390
1330,0.611161,0.100722
1340,1.126014,0.845512
1350,1.170822,0.698241
1360,1.061088,0.160405
1370,1.016813,0.268912
1380,0.964010,0.319050
1390,0.913482,0.157220
1400,1.376423,0.248869
1410,0.805527,0.206563
1420,0.912035,0.120113
1430,1.134838,0.442766
1440,1.354686,0.670077
1450,0.902582,0.131229
1460,1.135524,0.093277
1470,1.110923,0.300171
1480,1.013833,0.238354
1490,1.266398,0.235681
1500,0.855560,0.110679
1510,1.028081,0.110058
1520,0.867825,0.126718
1530,1.197903,0.260559
1540,0.495953,0.282665
1550,1.057281,0.380920
1560,0.114551,4.432159
1570,1.154136,0.449415
1580,1.229178,0.437821
1590,1.100529,0.271750
1600,1.326637,0.436326
1610,1.168945,0.327033
1620,1.118290,0.259071
1630,1.128101,0.373260
1640,1.077968,0.270211
1650,1.055707,0.270248
1660,1.010597,0.237610
1670,0.988285,0.211406
1680,1.086317,0.240038
1690,1.065895,0.229141
1700,1.005394,0.207776
1710,0.987487,0.196399
1720,0.986707,0.179517
1730,1.019747,0.136212
1740,1.108772,0.222001
1750,1.002872,0.137582
1760,1.291904,0.138479
1770,0.973990,0.139170
1780,1.117727,0.140541
1790,0.411307,0.084447
1800,0.965835,0.084859
1810,0.880867,0.167088
1820,0.934515,0.155803
1830,0.949620,0.353711
1840,1.063770,0.384521
1850,1.197281,0.405260
1860,1.126821,0.303050
1870,1.241987,0.324930
1880,1.156444,0.440347
1890,1.012366,0.334867
1900,1.306684,0.408484
1910,1.137939,0.476636
1920,1.186367,0.380731
1930,1.418623,0.481720
1940,1.287475,0.498799
1950,1.277528,0.461936
1960,1.238164,0.474854
1970,1.179378,0.404755
1980,1.228213,0.550374
1990,0.981622,0.621025
2000,1.040136,0.473750
2010,1.059350,0.317572
2020,1.214343,0.205754
2030,1.473828,0.449203
2040,0.957348,0.458804
2050,1.285277,0.717728
2060,1.324070,0.635465
2070,1.120567,0.468279
2080,1.271163,0.461464
2090,1.300815,0.566986
2100,1.306318,0.425401
2110,1.097979,0.479826
2120,1.253536,0.866135
2130,1.202528,0.533331
2140,1.347433,0.506514
2150,1.367030,0.415941
2160,1.343574,0.551072
2170,1.333133,0.531572
2180,1.334247,0.526542
2190,1.384148,0.591052
2200,1.343872,0.598180
2210,0.901077,0.324210
2220,1.302026,0.592114
2230,1.278938,0.574802
2240,0.895970,0.473125
2250,1.348366,0.387554
2260,1.339930,0.539485
2270,1.309970,0.367394
2280,1.275028,0.463272
2290,1.054270,0.405347
2300,1.200232,0.665026
2310,1.283322,0.817567
2320,1.383153,0.719162
2330,1.347148,0.513009
2340,1.322908,0.513306
2350,1.350704,0.558527
2360,1.301852,0.516867
2370,1.286104,0.515830
2380,1.304567,0.577128
2390,1.057832,0.524890
2400,1.354067,0.502979
2410,1.178727,0.638924
2420,1.333776,0.454964
2430,1.303508,0.486635
2440,1.325248,0.720234
2450,1.069255,0.231109
2460,1.207141,0.399470
2470,1.353302,0.633200
2480,1.286319,0.721838
2490,1.384025,0.590648
2500,1.333784,0.567396
2510,1.320938,0.657286
2520,1.302374,0.600393
2530,1.171845,0.360214
2540,1.283721,0.450220
2550,1.100796,0.413648
2560,1.305906,0.343221
2570,1.222831,0.448281
2580,1.237639,0.440083
2590,1.201865,0.502258
2600,1.362638,0.702774
2610,1.385153,0.635750
2620,1.341751,0.451431
2630,1.355370,0.593423
2640,1.253739,0.518106
2650,1.240314,0.272627
2660,1.296111,0.599089
2670,1.123023,0.283188
2680,1.378763,0.712063
2690,1.273293,0.292123
2700,1.354122,0.605468
2710,1.243356,0.400249
2720,1.291202,0.481793
2730,1.253846,0.491967
2740,0.956784,0.310119
2750,1.289478,0.495166
2760,1.234306,0.415414
2770,1.311721,0.649995
2780,1.216296,0.540307
2790,1.283129,0.454343
2800,1.193425,0.641229
2810,1.352326,0.509453
2820,1.361508,0.703614
2830,1.378287,0.613241
2840,1.350898,0.655198
2850,1.173172,0.223949
2860,1.145199,0.462394
2870,1.235134,0.542413
2880,1.313342,0.426307
2890,1.317339,0.408368
2900,1.289031,0.426582
2910,1.078007,0.313999
2920,1.188625,0.551331
2930,1.225934,0.606454
2940,1.280645,0.605181
2950,1.259868,0.423244
2960,1.297113,0.684518
2970,1.327637,0.754446
2980,1.352733,0.630888
2990,1.290752,0.382157
3000,1.401870,0.651370
3010,1.193067,0.245942
3020,1.233745,0.439193
3030,1.116879,0.410633
3040,1.271998,0.546897
3050,1.330691,0.639947
3060,1.184642,0.512331
3070,1.248529,0.662207
3080,1.261822,0.575221
3090,1.279919,0.448298
3100,1.223529,0.526960
3110,1.353500,0.346034
3120,1.091908,0.398402
3130,1.095866,0.459098
3140,1.030966,0.350737
3150,1.301317,0.410480
3160,1.176538,0.583764
3170,1.218070,0.714730
3180,1.139427,0.392100
3190,1.333211,0.714703
3200,1.336072,0.598797
3210,1.277318,0.515806
3220,1.242972,0.539154
3230,1.232716,0.557001
3240,1.062202,0.457244
3250,1.268587,0.536956
3260,1.323735,0.665197
3270,1.283559,0.678555
3280,1.291524,0.359848
3290,1.195184,0.333540
