Iteration,Discriminator Loss,Generator Loss
0,0.867029,0.695247
10,0.640806,0.787156
20,0.389001,1.190900
30,0.177115,2.298862
40,0.154105,3.350268
50,0.246572,2.786461
60,0.338348,2.904081
70,0.484648,2.240115
80,0.664280,1.648105
90,0.799068,1.831253
100,1.143860,2.412919
110,0.914933,1.886477
120,0.981749,1.634535
130,1.202561,3.109604
140,1.154672,1.246841
150,5.112218,0.001098
160,1.834029,0.005398
170,3.201206,1.579335
180,2.096044,0.007024
190,1.997101,2.533481
200,1.344722,1.292503
210,1.683082,0.060748
220,1.739672,1.230786
230,1.412327,0.955726
240,1.355187,0.711719
250,1.373217,0.756330
260,1.389571,0.744423
270,1.387625,0.721856
280,1.383572,0.730635
290,1.367315,0.791151
300,1.402051,0.468418
310,1.373141,0.691580
320,1.388347,0.549005
330,1.372258,0.691881
340,1.367006,0.626183
350,1.369166,0.699470
360,1.373389,0.709700
370,1.365721,0.687957
380,1.417003,0.655568
390,1.365560,0.690926
400,1.347181,0.764834
410,1.379876,0.723493
420,1.357538,0.680310
430,1.450504,0.512234
440,1.351079,0.702055
450,1.363769,0.724618
460,1.355343,0.679404
470,1.350728,0.709891
480,1.346179,0.741517
490,1.358120,0.697986
500,1.359013,0.704307
510,1.355174,0.713269
520,1.344729,0.680638
530,1.348319,0.726058
540,1.384159,0.716375
550,1.356058,0.719495
560,1.355501,0.746377
570,1.350010,0.791503
580,1.419469,0.483443
590,1.357297,0.708697
600,1.361169,0.742997
610,1.357317,0.707527
620,1.350068,0.693055
630,1.409545,0.647204
640,1.367158,0.650987
650,1.531013,0.579455
660,1.349043,0.804098
670,1.337693,0.754046
680,1.445645,0.781806
690,1.335833,0.642132
700,1.345770,0.719082
710,1.358985,0.582240
720,1.341306,0.631640
730,1.332333,0.584555
740,1.336859,0.642274
750,1.320200,0.652996
760,1.337593,0.655188
770,1.352079,0.544891
780,1.325963,0.587756
790,1.374476,0.539388
800,1.350271,0.579001
810,1.356141,0.519292
820,1.350838,0.566730
830,1.362386,0.663579
840,1.343807,0.675647
850,1.368218,0.674229
860,1.345119,0.716234
870,1.365180,0.639389
880,1.343156,0.657851
890,1.334259,0.725525
900,1.423789,0.822253
910,1.366908,0.687075
920,1.374847,0.674044
930,1.366278,0.704770
940,1.422144,0.578098
950,1.383477,0.539570
960,1.377819,0.697103
970,1.383039,0.705006
980,1.350053,0.729000
990,1.367569,0.741805
1000,1.383332,0.676272
1010,1.383085,0.723852
1020,1.381565,0.728911
1030,1.379388,0.694606
1040,1.384414,0.673168
1050,1.380839,0.667421
1060,1.378405,0.673566
1070,1.386821,0.700292
1080,1.384367,0.674693
1090,1.353742,0.651059
1100,1.386075,0.703777
1110,1.336760,0.679734
1120,1.383606,0.694048
1130,1.370199,0.643787
1140,1.385146,0.675579
1150,1.384056,0.702302
1160,1.378776,0.718491
1170,1.362873,0.661311
1180,1.383136,0.662010
1190,1.385644,0.693773
1200,1.385688,0.690485
1210,1.340732,0.802062
1220,1.386768,0.701669
1230,1.389264,0.703183
1240,1.378345,0.664079
1250,1.368128,0.644781
1260,1.350771,0.482719
1270,1.384573,0.684052
1280,1.377164,0.715210
1290,1.376000,0.694738
1300,1.380476,0.701234
1310,1.373161,0.694857
1320,1.368114,0.711860
1330,1.365685,0.701943
1340,1.378900,0.507916
1350,1.360662,0.686350
1360,1.415334,0.596257
1370,1.360705,0.633761
1380,1.360846,0.671575
1390,1.333177,0.756091
1400,1.356978,0.729037
1410,1.342415,0.739462
1420,1.358905,0.696034
1430,1.347697,0.725354
1440,1.348306,0.705862
1450,1.351142,0.748332
1460,1.361877,0.693693
1470,1.396596,0.850536
1480,1.355213,0.667236
1490,1.408022,0.578747
1500,1.417157,0.521321
1510,1.377743,0.671011
1520,1.374403,0.674641
1530,1.328259,0.734850
1540,1.383547,0.716274
1550,1.364487,0.716300
1560,1.373615,0.668720
1570,1.368271,0.766490
1580,1.413217,0.645210
1590,1.367694,0.709456
1600,1.365895,0.728222
1610,1.375059,0.634053
1620,1.359877,0.647266
1630,1.358986,0.648464
1640,1.352019,0.640850
1650,1.364077,0.624617
1660,1.369143,0.616294
1670,1.361058,0.605656
1680,1.351861,0.790616
1690,1.376117,0.782650
1700,1.380181,0.811807
1710,1.380251,0.788839
1720,1.343495,0.800139
1730,1.334301,0.821913
1740,1.352625,0.816557
1750,1.329866,0.825251
1760,1.353701,0.853033
1770,1.342706,0.824225
1780,1.332467,0.844180
1790,1.363957,0.864501
1800,1.325967,0.848604
1810,1.329652,0.805061
1820,1.349387,0.851609
1830,1.308716,0.872126
1840,1.374133,0.849792
1850,1.337625,0.826093
1860,1.333206,0.850448
1870,1.331514,0.846164
1880,1.331421,0.855865
1890,1.352815,0.882055
1900,1.331261,0.862024
1910,1.332648,0.866809
1920,1.351404,0.874949
1930,1.329030,0.877080
1940,1.330764,0.857719
1950,1.341971,0.878209
1960,1.315168,0.896814
1970,1.299363,0.816736
1980,1.327113,0.862990
1990,1.318021,0.858592
2000,1.352709,0.850284
2010,1.303014,0.900949
2020,1.351301,0.855830
2030,1.356213,0.877369
2040,1.374745,0.873530
2050,1.301496,0.861790
2060,1.325625,0.709329
2070,1.332382,0.625714
2080,1.371832,0.597056
2090,1.351329,0.862198
2100,1.345833,0.852754
2110,1.341538,0.850418
2120,1.356463,0.663244
2130,1.367733,0.615119
2140,1.344978,0.624619
2150,1.338894,0.674101
2160,1.350353,0.726801
2170,1.356078,0.661532
2180,1.329496,0.687532
2190,1.332773,0.700420
2200,1.332177,0.645837
2210,1.335826,0.617918
2220,1.346413,0.628271
2230,1.357668,0.653044
2240,1.354736,0.656083
2250,1.360406,0.616525
2260,1.368182,0.814875
2270,1.349561,0.791839
2280,1.345582,0.840163
2290,1.373799,0.930964
2300,1.313064,0.805221
2310,1.295956,0.874346
2320,1.311591,0.841850
2330,1.313192,0.876340
2340,1.344586,0.831779
2350,1.317290,0.907877
2360,1.357223,0.814048
2370,1.326488,0.848030
2380,1.316985,0.850020
2390,1.341380,0.848080
2400,1.345310,0.812001
2410,1.323390,0.869099
2420,1.305986,0.792515
2430,1.352073,0.837120
2440,1.314036,0.896351
2450,1.317257,0.889011
2460,1.336668,0.800969
2470,1.327762,0.820587
2480,1.337541,0.866356
2490,1.350121,0.858989
2500,1.332988,0.630619
2510,1.371265,0.628415
2520,1.331414,0.654748
2530,1.362114,0.637431
2540,1.341771,0.680977
2550,1.302810,0.531082
2560,1.316974,0.677108
2570,1.339770,0.787693
2580,1.360329,0.698545
2590,1.354694,0.593680
2600,1.363643,0.636967
2610,1.352453,0.757671
2620,1.387658,0.780863
2630,1.376566,0.660941
2640,1.362641,0.639589
2650,1.338853,0.637568
2660,1.368634,0.713685
2670,1.338435,0.709336
2680,1.370998,0.611553
2690,1.343703,0.570846
2700,1.386677,0.602979
2710,1.357900,0.821457
2720,1.351245,0.810954
2730,1.370500,0.797117
2740,1.366364,0.813812
2750,1.348716,0.792174
2760,1.375940,0.843750
2770,1.354290,0.795649
2780,1.351075,0.699493
2790,1.327275,0.609883
